freq,unit,geo\TIME_PERIOD,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,HAB_P,BG,74.95,77.41,76.47,76.12,78.03,96.0,108.3,110.06,116.95,130.59,135.53,139.68,134.29,139.65,136.7,134.61,133.17,136.19,140.62,137.95,134.57,129.39,128.32,128.61,126.35,125.33,122.54,120.83,119.42,118.18,115.69,NaN
A,HAB_P,BG31,57.34,57.94,58.0,58.11,61.21,78.04,88.35,94.38,103.41,126.14,130.12,129.33,128.55,133.77,127.52,128.52,125.22,132.47,133.89,136.2,132.59,130.88,126.98,129.12,122.85,124.72,122.28,118.74,112.83,110.1,105.36,NaN
A,HAB_P,BG32,60.67,62.26,63.12,63.89,67.72,85.41,94.87,104.83,113.68,130.89,133.84,133.74,132.96,136.36,133.62,131.81,130.75,140.12,148.0,149.67,142.38,140.58,136.76,141.97,141.58,140.28,137.65,132.23,127.85,126.7,127.97,NaN
A,HAB_P,BG33,79.33,81.07,80.81,81.22,84.29,104.15,115.75,129.25,133.71,153.21,158.19,163.32,169.84,177.83,178.39,178.72,173.51,183.3,184.34,189.55,186.03,181.2,173.41,180.58,177.6,172.56,169.6,168.94,171.38,164.07,163.82,NaN
A,HAB_P,BG34,81.81,85.65,83.11,82.9,86.2,111.38,119.79,113.0,120.01,142.18,144.45,146.07,146.92,150.99,147.03,142.78,139.68,147.34,161.14,159.02,151.17,143.49,150.73,145.18,142.82,143.64,140.87,140.61,136.6,134.06,126.07,NaN
A,HAB_P,BG41,91.83,94.31,92.16,93.07,94.46,107.26,123.73,117.46,125.01,138.96,142.22,145.2,145.6,150.05,146.17,140.68,139.9,145.08,151.19,148.43,146.95,139.93,138.47,139.86,138.24,136.12,131.54,127.93,129.05,129.64,126.71,NaN
A,HAB_P,BG42,84.21,84.69,84.69,82.95,86.67,116.63,124.1,123.63,125.37,142.22,146.03,146.29,144.17,146.78,144.52,137.57,132.2,135.86,138.97,133.7,130.48,122.51,120.11,118.23,115.11,114.73,114.24,112.15,111.08,110.85,109.48,NaN
A,HAB_P,CH,NaN,NaN,NaN,NaN,NaN,181.34,180.99,189.16,195.78,197.3,199.91,203.94,207.41,211.78,211.11,214.41,216.17,210.26,213.95,214.78,217.79,220.42,218.11,217.67,217.25,216.86,217.7,223.18,225.55,226.21,229.02,NaN
A,HAB_P,CH01,NaN,NaN,NaN,NaN,NaN,196.22,202.21,194.11,196.98,195.85,196.62,199.15,200.1,207.13,209.17,209.89,212.8,206.98,203.09,199.58,205.25,202.21,199.1,198.4,197.78,198.36,199.48,208.4,215.99,217.76,219.31,NaN
A,HAB_P,CH02,NaN,NaN,NaN,NaN,NaN,177.21,180.22,204.02,210.18,213.6,219.78,219.47,222.41,225.65,229.59,231.23,233.36,226.16,229.2,230.52,232.38,244.74,235.14,236.3,238.07,233.91,234.68,242.95,245.46,245.24,247.85,NaN
