freq,citizen,sex,age,unit,geo\TIME_PERIOD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,EU27_2020_FOR,F,Y20-64,PC_POP,MK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y20-64,PC_POP,MT,NaN,NaN,NaN,NaN,NaN,0.3,0.5,0.4,0.5,0.8,2.5,4.1,3.3,3.0,3.0,3.2,2.2
A,EU27_2020_FOR,F,Y20-64,PC_POP,NL,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0.5,1.2,0.9,1.1,1.1
A,EU27_2020_FOR,F,Y20-64,PC_POP,NO,0.6,0.8,1.2,1.6,2.1,2.4,2.1,2.7,2.1,2.0,2.8,1.9,1.8,1.0,1.0,1.2,1.2
A,EU27_2020_FOR,F,Y20-64,PC_POP,PL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y20-64,PC_POP,PT,0.2,0.2,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2,NaN,NaN,NaN,NaN,0.1,0.1
A,EU27_2020_FOR,F,Y20-64,PC_POP,RO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y20-64,PC_POP,RS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y20-64,PC_POP,SE,0.7,0.8,0.8,0.9,0.9,1.0,1.0,1.0,1.1,1.0,1.0,1.2,1.3,1.1,0.9,0.8,1.0
A,EU27_2020_FOR,F,Y20-64,PC_POP,SI,NaN,NaN,NaN,NaN,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0.2,0.1,NaN,NaN,NaN,NaN
A,EU27_2020_FOR,F,Y20-64,PC_POP,SK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
