Country,Legislature type,Salary (local),Salary ($US),GDP per capita ($US),Salary as % GDP per capita,Data confidence,Last checked,Source
:jo: Jordan,House of Representatives,د.أ 42000,59240,10452,567%,Medium,21-Oct-2024,[Inter-Parliamentary Union 2022](https://data.ipu.org/parliament/JO/JO-LC01/parliamentary-mandate/parliamentary-mandate/)
:sk: Slovakia,National Council,€ 49380,58500,44650,131%,High,17-Sep-2025,[Slovakia Parliament 2025](https://www.nrsr.sk/web/?sid=faq)
:hr: Croatia,Parliament,€ 48000,56870,45910,124%,Medium,16-Oct-2024,[Media report 2024](https://n1info.hr/english/news/prime-minister-announces-significant-salary-increases-for-state-officials/)
:bm: Bermuda,House of Assembly,BD$ 56023,56020,106866,52%,High,25-Oct-2024,[Bermuda Government 2024](https://parliament.bm/about/view/10)
:pt: Portugal,Parliament,€ 46706,55330,48759,113%,High,22-Nov-2024,[Portugal Parliament 2024](https://www.parlamento.pt/DeputadoGP/Paginas/EstatutoRemuneratorioDeputados.aspx)
:iq: Iraq,Council of Representatives,ع.د 72000000,54930,13969,393%,Medium,20-Oct-2024,[Media report 2024](https://amwaj.media/media-monitor/secret-salary-increase-in-iraq-s-parliament-stokes-public-outrage)
:ug: Uganda,Parliament,Ush 192000000,54860,3098,1771%,Medium,24-Nov-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/UG/UG-LC01/parliamentary-mandate/parliamentary-mandate/)
:ci: Côte d'Ivoire,National Assembly,FCFA 30000000,54180,7791,695%,Medium,28-Oct-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/CI/CI-LC01/parliamentary-mandate/parliamentary-mandate/)
:ec: Ecuador,National Assembly,US$ 54060,54060,15870,341%,Medium,28-Oct-2024,[Inter-Parliamentary Union 2021](https://data.ipu.org/parliament/EC/EC-LC01/parliamentary-mandate/parliamentary-mandate/)
:es: Spain,Congress of Deputies,€ 45308,53680,52779,102%,High,20-Oct-2024,[Spain Parliament 2024 (14 monthly payments)](https://www.congreso.es/es/cem/regecodip#Retr)
:az: Azerbaijan,National Assembly,₼ 89460,52620,23686,222%,Medium,21-Oct-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/AZ/AZ-LC01/parliamentary-mandate/parliamentary-mandate/)
:ro: Romania,Chamber of Deputies,lei 224640,52520,47903,110%,Medium,21-Oct-2024,[Inter-Parliamentary Union 2022](https://data.ipu.org/parliament/RO/RO-LC01/parliamentary-mandate/parliamentary-mandate/)
:bg: Bulgaria,National Assembly,лв 84000,50880,38690,132%,Low,25-Oct-2024,[Media report 2024](https://fakti.bg/en/bulgaria/880973-zaplatata-na-deputata-pada-s-400-leva-a-tazi-na-rumen-radev-namalava-sas-700-leva)
:fm: Micronesia,Congress,US$ 50000,50000,4217,1186%,Medium,22-Nov-2024,[Inter-Parliamentary Union 2021](https://data.ipu.org/parliament/FM/FM-LC01/parliamentary-mandate/parliamentary-mandate/)
:pw: Palau,House of Delegates,US$ 50000,50000,17491,286%,Medium,22-Nov-2024,[Inter-Parliamentary Union 2020](https://data.ipu.org/parliament/PW/PW-LC01/parliamentary-mandate/parliamentary-mandate/)
:mx: Mexico,Chamber of Deputies,$ 907311,49480,25602,193%,High,2-Jan-2025,[Mexico Parliament Feb 2024](https://web.diputados.gob.mx/inicio/recursosHumanos)
:ma: Morocco,House of Representatives,د.م 432000,48130,9743,494%,Medium,21-Oct-2024,[Inter-Parliamentary Union (2022)](https://data.ipu.org/parliament/MA/MA-LC01/parliamentary-mandate/parliamentary-mandate/)
:hu: Hungary,Parliament,Ft 15585600,47340,45942,103%,Medium,31-Oct-2024,[Inter-Parliamentary Union 2022](https://data.ipu.org/parliament/HU/HU-LC01/parliamentary-mandate/parliamentary-mandate/)
:my: Malaysia,House of Representatives,RM 192000,45840,37248,123%,High,18-Sep-2024,[Act of Parliament 2015](https://www.cljlaw.com/files/bills/pdf/2014/MY_FS_BIL_2014_23.pdf)
:gt: Guatemala,Congress of the Republic,Q 349800,45700,14067,325%,Medium,31-Oct-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/GT/GT-LC01/parliamentary-mandate/parliamentary-mandate/)
:al: Albania,Kuvendi,L 3720000,45510,21395,213%,Medium,2-Jun-2025,[Media report 2023](https://scantv.al/si-do-ndryshoje-piramida-e-pagave-presidenti-me-i-mirepaguari-reforma-vijon-edhe-ne-dy-vitet-e-ardhshem)
:mc: Monaco,National Council,€ 38000,45020,240862,19%,Medium,22-Nov-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/MC/MC-LC01/parliamentary-mandate/parliamentary-mandate/)
:pl: Poland,Sejm,zł 153920,42880,49464,87%,Medium,22-Nov-2024,[Inter-Parliamentary Union 2022](https://data.ipu.org/parliament/PL/PL-LC01/parliamentary-mandate/parliamentary-mandate/)
:fj: Fiji,Parliament,FJ$ 95000,42530,15047,283%,High,18-Sep-2024,[Act of Parliament 2024](https://acrobat.adobe.com/id/urn:aaid:sc:ap:7828261c-bf68-448b-ba5c-eea5c4bad79e?viewer%21megaVerb=group-discover)
:bw: Botswana,National Assembly,P 579744,41560,19383,214%,Medium,14-Oct-2024,[Media report 2023](https://www.mmegi.bw/news/more-benefits-as-masisis-monthly-earnings-exceed-p100-000/news)
:ke: Kenya,National Assembly,KSh 5223612,40390,6324,639%,Low,2-Nov-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/KE/KE-LC01/parliamentary-mandate/parliamentary-mandate/)
:bn: Brunei Darussalam,Legislative Council,B$ 48000,37630,86446,44%,Medium,25-Oct-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/BN/BN-LC01/parliamentary-mandate/parliamentary-mandate/)
:bo: Bolivia,Chamber of Deputies,Bs 257436,37300,10727,348%,Medium,25-Oct-2024,[Inter-Parliamentary Union 2017](https://data.ipu.org/parliament/BO/BO-LC01/parliamentary-mandate/parliamentary-mandate/)
:ba: Bosnia and Herzegovina,House of Representatives,KM 61440,37220,22846,163%,Medium,25-Oct-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/BA/BA-LC01/parliamentary-mandate/parliamentary-mandate/)
