Country,Legislature type,Salary (local),Salary ($US),GDP per capita ($US),Salary as % GDP per capita,Data confidence,Last checked,Source
:ng: Nigeria,National Assembly,₦ 10200000,6830,6318,108%,Medium,19-Oct-2024,[Inter-Parliamentary Union 2022](https://data.ipu.org/parliament/NG/NG-LC01/parliamentary-mandate/parliamentary-mandate/)
:gm: The Gambia,National Assembly,D 480000,6630,3163,210%,Medium,31-Oct-2024,[Inter-Parliamentary Union 2021](https://data.ipu.org/parliament/GM/GM-LC01/parliamentary-mandate/parliamentary-mandate/)
:cm: Cameroon,National Assembly,FCFA 3528000,6370,5380,118%,Medium,25-Oct-2024,[Inter-Parliamentary Union 2024](https://data.ipu.org/parliament/CM/CM-LC01/parliamentary-mandate/parliamentary-mandate/)
:pk: Pakistan,Parliament,Rs 1800000,6360,6212,102%,Medium,22-Nov-2024,[Pakistan legislation 2018](https://archive.is/rKK14)
:kg: Kyrgyzstan,Supreme Council,лв 516000,5900,7103,83%,Low,21-Oct-2024,[Media report 2023](https://tashkenttimes.uz/national/11463-uzbek-mps-paid-less-than-their-foreign-peers)
:mn: Mongolia,State Great Khural,₮ 19776132,5500,18108,30%,Medium,22-Nov-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/MN/MN-LC01/parliamentary-mandate/parliamentary-mandate/)
:bd: Bangladesh,Parliament,৳ 660000,5430,9066,60%,High,5-Nov-2024,[Act of Parliament (amended 2015)](http://bdlaws.minlaw.gov.bd/act-455/section-10517.html)
:uz: Uzbekistan,Legislative Chamber,лв 52800000,4302,9725,44%,Low,14-Oct-2024,[Media report 2023](https://tashkenttimes.uz/national/11463-uzbek-mps-paid-less-than-their-foreign-peers)
:lb: Lebanon,House of Representatives,L£ 336000000,3750,12853,29%,Medium,19-Oct-2024,[Inter-Parliamentary Union 2022](https://data.ipu.org/parliament/LB/LB-LC01/parliamentary-mandate/parliamentary-mandate/)
:vn: Vietnam,National Assembly,₫ 91728000,3482,15194,23%,Medium,20-Oct-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/VN/VN-LC01/parliamentary-mandate/parliamentary-mandate/)
:mz: Mozambique,Assembly of the Republic,MT 174250,2730,1657,165%,Medium,22-Nov-2024,[CIP Mozambique 2023](https://www.cipmoz.org/wp-content/uploads/2023/06/Review-of-the-Single-Salary-Scale.pdf)
:lk: Sri Lanka,Parliament,Rs 651420,2160,14455,15%,High,22-Nov-2024,[Sri Lanka Parliament 2022](https://www.parliament.lk/44-members-of-parliament/1369-mp-allowances-benefits)
:et: Ethiopia,House of People's Representatives,ብር 170280,1180,3109,38%,Medium,28-Oct-2024,[Inter-Parliamentary Union 2022](https://data.ipu.org/parliament/ET/ET-LC01/parliamentary-mandate/parliamentary-mandate/)
:bi: Burundi,National Assembly,FBu 2125200,710,951,75%,Medium,25-Oct-2024,[Inter-Parliamentary Union 2020](https://data.ipu.org/parliament/BI/BI-LC01/parliamentary-mandate/parliamentary-mandate/)
:cu: Cuba,National Assembly,0 (No salary),0,Not available,0%,Medium,28-Oct-2024,[Media report 2023](https://apnews.com/article/cuba-national-assembly-elections-communist-party-b23e6569bbe6cd54ace03131b873d7ec)
:mm: Myanmar,House of Representatives (suspended),,,5905,,,22-Nov-2024,[Parliament suspended since Feb 2021](https://data.ipu.org/parliament/MM/MM-LC01/)
:sd: Sudan,National Assembly (suspended),,,3137,,,24-Nov-2024,[Parliament suspended since Apr 2021](https://data.ipu.org/parliament/SD/SD-LC01/)
