CN,ISO,Rate
1201,SI,9.5
12019000,SI,9.5
1202,SI,9.5
12024100,SI,9.5
12024200,SI,9.5
12030000,SI,9.5
120400,SI,9.5
12040090,SI,9.5
120600,SI,9.5
12060091,SI,9.5
12060099,SI,9.5
1207,SI,9.5
12071000,SI,9.5
12073000,SI,9.5
12074090,SI,9.5
12075090,SI,9.5
12076000,SI,9.5
12077000,SI,9.5
12079190,SI,9.5
12079991,SI,9.5
12079996,SI,9.5
12081000,SI,9.5
12089000,SI,9.5
1209,SI,9.5
1211,SI,9.5
12122100,SI,9.5
12129200,SI,9.5
12129400,SI,9.5
12129949,SI,9.5
12129995,SI,9.5
12130000,SI,9.5
1214,SI,9.5
13021970,SI,9.5
15011090,SI,9.5
15012090,SI,9.5
15019000,SI,9.5
15021090,SI,9.5
15029090,SI,9.5
1504,SI,9.5
15060000,SI,9.5
15071090,SI,9.5
15079090,SI,9.5
15081090,SI,9.5
15089090,SI,9.5
1509,SI,9.5
15111090,SI,9.5
15119011,SI,9.5
15119019,SI,9.5
15119099,SI,9.5
15121191,SI,9.5
15121199,SI,9.5
15121990,SI,9.5
15122190,SI,9.5
15122990,SI,9.5
15131191,SI,9.5
15131199,SI,9.5
15131911,SI,9.5
15131919,SI,9.5
15131991,SI,9.5
15131999,SI,9.5
15132130,SI,9.5
15132190,SI,9.5
15132911,SI,9.5
15132919,SI,9.5
15132950,SI,9.5
15132990,SI,9.5
15141190,SI,9.5
15141990,SI,9.5
15149190,SI,9.5
15149990,SI,9.5
15151990,SI,9.5
15152190,SI,9.5
15152990,SI,9.5
15153090,SI,9.5
15155019,SI,9.5
15155099,SI,9.5
15159029,SI,9.5
15159039,SI,9.5
15159051,SI,9.5
15159059,SI,9.5
15159091,SI,9.5
15159099,SI,9.5
1516,SI,9.5
1517,SI,9.5
160100,SI,9.5
16010010,SI,9.5
1602,SI,9.5
160300,SI,9.5
1604,SI,9.5
1605,SI,9.5
1701,SI,9.5
1702,SI,9.5
1703,SI,9.5
1704,SI,9.5
18050000,SI,9.5
1806,SI,9.5
1901,SI,9.5
1902,SI,9.5
19030000,SI,9.5
1904,SI,9.5
1905,SI,9.5
2001,SI,9.5
2002,SI,9.5
2003,SI,9.5
2004,SI,9.5
2005,SI,9.5
200600,SI,9.5
2007,SI,9.5
2008,SI,9.5
2009,SI,9.5
2101,SI,9.5
2102,SI,9.5
2103,SI,9.5
2104,SI,9.5
210500,SI,9.5
2106,SI,9.5
2201,SI,9.5
2202,SI,9.5
220900,SI,9.5
2301,SI,9.5
2302,SI,9.5
2303,SI,9.5
23040000,SI,9.5
23050000,SI,9.5
2306,SI,9.5
230800,SI,9.5
2309,SI,9.5
25010010,SI,9.5
25010091,SI,9.5
25309000,SI,9.5
29054300,SI,9.5
290544,SI,9.5
29232000,SI,9.5
29251100,SI,9.5
29349990,SI,9.5
2936,SI,9.5
