AT,BE,CY,CZ,DE,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PT,SI,SK,category,"euro
area",subcategory
127.8,242.4,200.4,97.3,106.7,66.2,127.7,104.0,125.7,84.6,64.9,55.6,193.7,159.0,53.7,717.7,31.3,273.6,105.6,99.6,118.8,97.0,Total population,123.5,ALL
10.3,71.6,56.4,49.7,10.6,24.5,45.4,8.7,11.6,47.9,45.0,30.7,112.3,58.0,31.9,109.4,14.0,159.0,11.9,44.0,58.4,62.4,Income,29.8,Bottom 20%
30.5,168.6,131.7,75.9,31.1,52.5,86.1,50.3,45.0,66.9,51.4,42.2,144.5,108.5,45.0,492.7,23.0,253.5,32.4,66.6,101.4,86.0,Income,73.0,20-40%
142.9,209.1,212.8,85.2,71.3,57.2,119.0,106.0,135.2,80.2,60.2,48.6,137.5,144.6,53.5,710.2,29.3,265.1,94.7,89.3,113.6,88.5,Income,111.0,40-60%
199.1,261.6,278.9,114.8,189.5,81.7,176.6,149.3,196.7,98.5,71.2,73.0,205.7,205.5,68.0,890.3,38.5,303.5,169.3,115.9,134.0,113.2,Income,189.0,60-80%
217.2,386.2,354.4,154.8,307.2,101.3,234.1,205.5,329.0,119.4,97.2,102.4,360.1,327.2,79.7,1284.9,64.4,396.0,230.8,185.9,173.4,134.8,Income,285.9,80-90%
461.0,614.4,564.6,207.7,530.5,180.2,461.7,422.2,630.7,229.5,150.5,187.4,490.6,746.5,97.6,2188.9,121.6,579.0,300.3,332.1,254.4,171.6,Income,517.6,90-100%
2.4,2.8,2.4,2.4,0.9,2.6,0.8,-0.4,3.1,3.2,0.4,5.2,0.7,5.9,9.8,14.9,0.5,8.3,0.4,1.4,3.1,16.7,Net wealth,2.0,Bottom 20%
23.6,99.8,93.5,47.8,18.9,27.2,55.1,20.3,27.2,41.9,31.7,28.9,60.0,83.3,31.2,254.3,16.3,171.5,19.9,43.5,58.3,63.1,Net wealth,35.0,20-40%
127.9,242.7,200.8,97.4,107.0,66.4,127.7,104.1,125.7,84.6,65.2,55.6,193.8,159.2,53.8,718.3,31.5,273.8,105.7,99.8,118.9,97.1,Net wealth,123.5,40-60%
282.0,405.4,345.5,157.9,298.1,118.5,237.2,216.1,277.9,144.4,106.3,99.1,360.4,277.0,83.4,1229.5,60.3,420.0,250.8,177.0,193.0,142.0,Net wealth,265.5,60-80%
518.6,668.4,579.5,235.2,536.4,204.9,436.8,386.3,489.1,226.9,182.5,176.7,624.4,507.3,121.1,2100.0,109.8,669.5,418.6,302.4,300.8,203.3,Net wealth,480.9,80-90%
1048.8,1277.4,1196.8,406.8,1108.2,458.4,892.6,766.2,967.0,414.2,353.8,325.7,1220.2,1185.8,230.0,4151.8,231.2,1173.8,783.9,646.8,550.5,324.3,Net wealth,1011.0,90-100%
