AT,BE,CY,CZ,DE,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PT,SI,SK,category,"euro
area",subcategory
26.7,153.7,129.5,59.1,40.9,33.8,93.0,48.9,59.5,50.3,43.0,42.2,156.3,108.0,40.5,492.4,19.9,202.8,32.0,73.5,67.7,69.5,Household size,64.0,1
179.0,326.4,161.0,102.9,169.7,78.7,170.2,175.4,203.4,88.5,81.3,59.8,238.3,167.6,73.2,768.1,42.8,278.5,169.1,96.7,142.4,105.8,Household size,167.1,2
213.3,223.7,187.3,109.2,165.4,99.2,128.2,137.8,136.3,106.1,74.2,72.0,157.3,192.0,59.3,821.2,31.3,316.0,175.7,106.1,145.0,106.9,Household size,153.5,3
216.9,320.9,299.3,132.0,204.0,98.7,138.3,180.5,192.4,100.1,69.9,77.5,210.4,224.9,54.6,968.0,62.3,378.2,188.2,121.7,148.5,109.4,Household size,178.0,4
199.6,225.0,330.6,162.1,111.8,126.1,109.1,122.2,84.3,80.6,87.2,52.8,235.2,175.1,74.8,840.4,59.6,345.2,188.7,179.6,154.0,85.0,Household size,125.9,5+
352.3,400.5,300.7,132.8,396.4,81.6,223.5,241.1,334.8,119.8,89.7,65.8,365.1,214.0,57.6,1242.3,43.3,378.2,442.3,154.4,155.7,114.0,Housing status,266.6,Owners - outright
294.1,247.9,232.8,102.7,326.3,97.1,129.4,143.1,188.5,88.7,64.8,58.1,232.6,172.4,60.7,779.4,48.6,242.3,220.8,123.2,142.7,89.4,Housing status,193.2,Owners - with mortgage
17.8,8.3,6.6,4.5,16.2,4.7,7.9,2.7,12.7,6.5,0.6,3.5,5.5,8.2,3.2,61.4,1.2,10.0,10.0,7.5,4.5,5.5,Housing status,12.0,Renters / other
12.8,69.1,161.8,43.9,16.3,28.6,37.5,6.2,22.4,8.4,20.4,25.7,23.8,95.6,43.4,167.9,21.7,209.6,28.4,46.1,12.3,71.5,Age of RP,21.7,16-34
61.7,173.8,187.8,102.7,65.7,80.2,82.7,88.9,84.0,68.1,40.6,58.5,93.3,112.6,80.2,424.9,28.5,259.0,94.8,86.7,108.9,83.8,Age of RP,88.4,35-44
188.0,233.6,274.8,102.4,155.2,88.9,116.7,157.4,143.0,86.5,67.2,72.2,230.0,180.0,60.7,801.6,39.8,343.5,150.1,122.7,142.8,105.9,Age of RP,146.8,45-54
202.8,359.5,275.2,124.2,230.3,76.7,180.5,163.2,191.2,108.0,95.4,65.2,336.8,212.0,57.7,1051.0,39.0,352.0,204.3,130.3,133.3,128.7,Age of RP,195.2,55-64
188.5,307.7,196.8,102.9,232.1,73.5,200.8,176.1,232.8,104.3,75.9,54.4,296.7,168.0,51.4,1219.5,36.3,310.0,134.4,99.2,138.2,100.8,Age of RP,185.3,65-74
92.3,337.4,115.3,78.0,129.9,47.8,163.7,163.5,201.3,85.9,60.7,46.1,263.3,125.4,43.0,1324.3,17.7,214.5,131.8,75.1,97.0,82.5,Age of RP,144.4,75+
